timestamp,temperature_c,pressure_hpa,humidity_pct,station_id,station_name,cluster_id,role,is_anomaly,fault_type
2025-01-01 00:00:00,11.3,1008.9,94.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 01:00:00,10.9,1008.4,94.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 02:00:00,10.5,1008.1,95.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 03:00:00,10.1,1007.6,96.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 04:00:00,9.8,1007.6,97.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 05:00:00,9.5,1007.6,98.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 06:00:00,9.9,1009.3,99.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 07:00:00,10.3,1009.9,98.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 08:00:00,12.0,1010.6,92.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 09:00:00,13.9,1010.9,81.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 10:00:00,15.4,1010.6,69.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 11:00:00,16.3,1009.9,66.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 12:00:00,17.1,1008.7,63.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 13:00:00,17.8,1007.3,62.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 14:00:00,18.1,1006.3,62.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 15:00:00,17.9,1006.1,63.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 16:00:00,17.1,1006.0,69.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 17:00:00,15.5,1006.1,77.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 18:00:00,13.1,1007.8,85.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 19:00:00,12.6,1008.1,87.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 20:00:00,12.2,1008.7,87.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 21:00:00,11.6,1008.6,89.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 22:00:00,11.0,1008.4,91.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-01 23:00:00,10.8,1008.2,91.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 00:00:00,10.4,1007.9,92.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 01:00:00,10.1,1007.4,93.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 02:00:00,9.8,1006.9,94.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 03:00:00,9.7,1006.4,95.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 04:00:00,9.6,1006.6,96.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 05:00:00,9.5,1006.9,96.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 06:00:00,9.5,1008.6,97.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 07:00:00,9.6,1009.4,98.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 08:00:00,11.1,1010.1,94.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 09:00:00,13.1,1010.5,87.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 10:00:00,15.0,1010.2,78.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 11:00:00,16.8,1009.5,68.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 12:00:00,17.4,1008.6,65.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 13:00:00,18.5,1007.5,60.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 14:00:00,18.7,1006.7,61.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 15:00:00,18.5,1006.2,63.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 16:00:00,17.7,1006.5,69.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 17:00:00,16.2,1006.7,77.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 18:00:00,14.9,1007.9,79.0,AWS-VAR-052,Varanasi,VAR,center,False,
2025-01-02 19:00:00,14.4,1008.4,81.0,AWS-VAR-052,Varanasi,VAR,center,False,
