episode_id,station_id,fault_type,parameters,start_index,end_index,start_timestamp,end_timestamp,seed
AWS-BHO-030:71003:0001,AWS-BHO-030,spike,"[""pressure_hpa""]",1683,1683,2025-03-12 03:00:00,2025-03-12 03:00:00,71003
AWS-BHO-030:71003:0002,AWS-BHO-030,spike,"[""temperature_c""]",1449,1449,2025-03-02 09:00:00,2025-03-02 09:00:00,71003
AWS-BHO-030:71003:0003,AWS-BHO-030,spike,"[""pressure_hpa""]",1809,1809,2025-03-17 09:00:00,2025-03-17 09:00:00,71003
AWS-BHO-030:71003:0004,AWS-BHO-030,spike,"[""temperature_c""]",652,652,2025-01-28 04:00:00,2025-01-28 04:00:00,71003
AWS-BHO-030:71003:0005,AWS-BHO-030,spike,"[""pressure_hpa""]",1569,1569,2025-03-07 09:00:00,2025-03-07 09:00:00,71003
AWS-BHO-030:71003:0006,AWS-BHO-030,spike,"[""temperature_c""]",102,102,2025-01-05 06:00:00,2025-01-05 06:00:00,71003
AWS-BHO-030:71003:0007,AWS-BHO-030,spike,"[""pressure_hpa""]",2085,2085,2025-03-28 21:00:00,2025-03-28 21:00:00,71003
AWS-BHO-030:71003:0008,AWS-BHO-030,spike,"[""pressure_hpa""]",1034,1034,2025-02-13 02:00:00,2025-02-13 02:00:00,71003
AWS-BHO-030:71003:0009,AWS-BHO-030,spike,"[""pressure_hpa""]",519,519,2025-01-22 15:00:00,2025-01-22 15:00:00,71003
AWS-BHO-030:71003:0010,AWS-BHO-030,spike,"[""temperature_c""]",774,774,2025-02-02 06:00:00,2025-02-02 06:00:00,71003
AWS-BHO-030:71003:0011,AWS-BHO-030,frozen_value,"[""pressure_hpa""]",1205,1213,2025-02-20 05:00:00,2025-02-20 13:00:00,71003
AWS-BHO-030:71003:0012,AWS-BHO-030,frozen_value,"[""humidity_pct""]",997,1003,2025-02-11 13:00:00,2025-02-11 19:00:00,71003
AWS-BHO-030:71003:0013,AWS-BHO-030,frozen_value,"[""humidity_pct""]",1232,1240,2025-02-21 08:00:00,2025-02-21 16:00:00,71003
AWS-BHO-030:71003:0014,AWS-BHO-030,frozen_value,"[""temperature_c""]",1771,1777,2025-03-15 19:00:00,2025-03-16 01:00:00,71003
AWS-BHO-030:71003:0015,AWS-BHO-030,frozen_value,"[""humidity_pct""]",395,401,2025-01-17 11:00:00,2025-01-17 17:00:00,71003
AWS-BHO-030:71003:0016,AWS-BHO-030,frozen_value,"[""pressure_hpa""]",643,649,2025-01-27 19:00:00,2025-01-28 01:00:00,71003
AWS-BHO-030:71003:0017,AWS-BHO-030,frozen_value,"[""temperature_c""]",1411,1418,2025-02-28 19:00:00,2025-03-01 02:00:00,71003
AWS-BHO-030:71003:0018,AWS-BHO-030,frozen_value,"[""temperature_c""]",2014,2022,2025-03-25 22:00:00,2025-03-26 06:00:00,71003
