episode_id,station_id,fault_type,parameters,start_index,end_index,start_timestamp,end_timestamp,seed
AWS-BHO-030:71001:0001,AWS-BHO-030,spike,"[""temperature_c""]",634,634,2025-01-27 10:00:00,2025-01-27 10:00:00,71001
AWS-BHO-030:71001:0002,AWS-BHO-030,spike,"[""temperature_c""]",1406,1406,2025-02-28 14:00:00,2025-02-28 14:00:00,71001
AWS-BHO-030:71001:0003,AWS-BHO-030,spike,"[""temperature_c""]",942,942,2025-02-09 06:00:00,2025-02-09 06:00:00,71001
AWS-BHO-030:71001:0004,AWS-BHO-030,spike,"[""temperature_c""]",1650,1650,2025-03-10 18:00:00,2025-03-10 18:00:00,71001
AWS-BHO-030:71001:0005,AWS-BHO-030,spike,"[""pressure_hpa""]",548,548,2025-01-23 20:00:00,2025-01-23 20:00:00,71001
AWS-BHO-030:71001:0006,AWS-BHO-030,spike,"[""temperature_c""]",1811,1811,2025-03-17 11:00:00,2025-03-17 11:00:00,71001
AWS-BHO-030:71001:0007,AWS-BHO-030,spike,"[""pressure_hpa""]",1747,1747,2025-03-14 19:00:00,2025-03-14 19:00:00,71001
AWS-BHO-030:71001:0008,AWS-BHO-030,spike,"[""pressure_hpa""]",259,259,2025-01-11 19:00:00,2025-01-11 19:00:00,71001
AWS-BHO-030:71001:0009,AWS-BHO-030,spike,"[""pressure_hpa""]",2003,2003,2025-03-25 11:00:00,2025-03-25 11:00:00,71001
AWS-BHO-030:71001:0010,AWS-BHO-030,spike,"[""temperature_c""]",461,461,2025-01-20 05:00:00,2025-01-20 05:00:00,71001
AWS-BHO-030:71001:0011,AWS-BHO-030,frozen_value,"[""pressure_hpa""]",975,981,2025-02-10 15:00:00,2025-02-10 21:00:00,71001
AWS-BHO-030:71001:0012,AWS-BHO-030,frozen_value,"[""pressure_hpa""]",1433,1441,2025-03-01 17:00:00,2025-03-02 01:00:00,71001
AWS-BHO-030:71001:0013,AWS-BHO-030,frozen_value,"[""humidity_pct""]",235,241,2025-01-10 19:00:00,2025-01-11 01:00:00,71001
AWS-BHO-030:71001:0014,AWS-BHO-030,frozen_value,"[""humidity_pct""]",1670,1676,2025-03-11 14:00:00,2025-03-11 20:00:00,71001
AWS-BHO-030:71001:0015,AWS-BHO-030,frozen_value,"[""humidity_pct""]",1542,1549,2025-03-06 06:00:00,2025-03-06 13:00:00,71001
AWS-BHO-030:71001:0016,AWS-BHO-030,frozen_value,"[""temperature_c""]",789,797,2025-02-02 21:00:00,2025-02-03 05:00:00,71001
AWS-BHO-030:71001:0017,AWS-BHO-030,frozen_value,"[""temperature_c""]",1257,1264,2025-02-22 09:00:00,2025-02-22 16:00:00,71001
AWS-BHO-030:71001:0018,AWS-BHO-030,frozen_value,"[""temperature_c""]",836,843,2025-02-04 20:00:00,2025-02-05 03:00:00,71001
AWS-BHO-030:71001:0019,AWS-BHO-030,frozen_value,"[""temperature_c""]",62,69,2025-01-03 14:00:00,2025-01-03 21:00:00,71001
AWS-BHO-030:71001:0020,AWS-BHO-030,frozen_value,"[""pressure_hpa""]",614,622,2025-01-26 14:00:00,2025-01-26 22:00:00,71001
AWS-BHO-030:71001:0021,AWS-BHO-030,drift,"[""pressure_hpa""]",766,801,2025-02-01 22:00:00,2025-02-03 09:00:00,71001
AWS-BHO-030:71001:0022,AWS-BHO-030,drift,"[""pressure_hpa""]",452,479,2025-01-19 20:00:00,2025-01-20 23:00:00,71001
AWS-BHO-030:71001:0023,AWS-BHO-030,drift,"[""humidity_pct""]",413,461,2025-01-18 05:00:00,2025-01-20 05:00:00,71001
AWS-BHO-030:71001:0024,AWS-BHO-030,drift,"[""pressure_hpa""]",1599,1627,2025-03-08 15:00:00,2025-03-09 19:00:00,71001
AWS-BHO-030:71001:0025,AWS-BHO-030,drift,"[""humidity_pct""]",1171,1196,2025-02-18 19:00:00,2025-02-19 20:00:00,71001
AWS-BHO-030:71001:0026,AWS-BHO-030,drift,"[""pressure_hpa""]",653,692,2025-01-28 05:00:00,2025-01-29 20:00:00,71001
AWS-BHO-030:71001:0027,AWS-BHO-030,drift,"[""pressure_hpa""]",2032,2067,2025-03-26 16:00:00,2025-03-28 03:00:00,71001
AWS-BHO-030:71001:0028,AWS-BHO-030,drift,"[""temperature_c""]",515,561,2025-01-22 11:00:00,2025-01-24 09:00:00,71001
AWS-BHO-030:71001:0029,AWS-BHO-030,drift,"[""temperature_c""]",962,990,2025-02-10 02:00:00,2025-02-11 06:00:00,71001
AWS-BHO-030:71001:0030,AWS-BHO-030,drift,"[""temperature_c""]",237,258,2025-01-10 21:00:00,2025-01-11 18:00:00,71001
AWS-BHO-030:71001:0031,AWS-BHO-030,dropout,"[""pressure_hpa""]",557,557,2025-01-24 05:00:00,2025-01-24 05:00:00,71001
AWS-BHO-030:71001:0032,AWS-BHO-030,dropout,"[""humidity_pct""]",1112,1112,2025-02-16 08:00:00,2025-02-16 08:00:00,71001
AWS-BHO-030:71001:0033,AWS-BHO-030,dropout,"[""pressure_hpa""]",1656,1656,2025-03-11 00:00:00,2025-03-11 00:00:00,71001
